Label,Mail
0,"job posting - apple-iss research center content - length : 3386 apple-iss research center a us $ 10 million joint venture between apple computer inc . and the institute of systems science of the national university of singapore , located in singapore , is looking for : a senior speech scientist - - - - - - - - - - - - - - - - - - - - - - - - - the successful candidate will have research expertise in computational linguistics , including natural language processing and * * english * * and * * chinese * * statistical language modeling . knowledge of state-of - the-art corpus-based n - gram language models , cache language models , and part-of - speech language models are required . a text - to - speech project leader - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - the successful candidate will have research expertise expertise in two or more of the following areas : computational linguistics , including natural language parsing , lexical database design , and statistical language modeling ; text tokenization and normalization ; prosodic analysis . substantial knowledge of the phonology , syntax , and semantics of chinese is required . knowledge of acoustic phonetics and / or speech signal processing is desirable . both candidates will have a phd with at least 2 to 4 years of relevant work experience , or a technical msc degree with at least 5 to 7 years of experienc e . very strong software engineering skills , including design and implementation , and productization are required in these positions . knowledge of c , c + + and unix are preferred . a unix & c programmer - - - - - - - - - - - - - - - - - - - - we are looking for an experienced unix & c programmer , preferably with good industry experience , to join us in breaking new frontiers . strong knowledge of unix tools ( compilers , linkers , make , x - windows , e - mac , . . . ) and experience in matlab required . sun and silicon graphic experience is an advantage . programmers with less than two years industry experience need not apply . these positions include interaction with scientists in the national university of singapore , and with apple 's speech research and productization efforts located in cupertino , california . attendance and publication in international scientific / engineering conferences is encouraged . benefits include an internationally competitive salary , housing subsidy , and relocation expenses . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ send a complete resume , enclosing personal particulars , qualifications , experience and contact telephone number to : mr jean - luc lebrun center manager apple - iss research center , institute of systems science heng mui keng terrace , singapore 0511 tel : ( 65 ) 772-6571 fax : ( 65 ) 776-4005 email : jllebrun @ iss . nus . sg
"
0," lang classification grimes , joseph e . and barbara f . grimes ; ethnologue language family index ; pb . isbn : 0-88312 - 708 - 3 ; vi , 116 pp . ; $ 14 . 00 . summer institute of linguistics . this companion volume to ethnologue : languages of the world , twelfth edition lists language families of the world with sub-groups shown in a tree arrangement under the broadest classification of language family . the language family index facilitates locating language names in the ethnologue , making the data there more accessible . internet : academic . books @ sil . org languages , reference lang & culture gregerson , marilyn ; ritual , belief , and kinship in sulawesi ; pb . : isbn : 0-88312 - 621 - 4 ; ix , 194 pp . ; $ 25 . 00 . summer institute of linguistics . seven articles discuss five language groups in sulawesi , indonesia ; the primary focus is on cultural matters , with some linguistic content . topics include traditional religion and beliefs , certain ceremonies , and kinship . internet : academic . books @ sil . org language and society , indonesia computers & ling weber , david j . , stephen r . mcconnel , diana d . weber , and beth j . bryson ; primer : a tool for developing early reading materials ; pb . : isbn : 0-88313 - 678 - 8 ; xvi , 266 pp . + ms-dos software ; $ 26 . 00 . summer institute of linguistics . the authors present a computer program and instructions for developing reading materials in languages with little or no background in literacy . the book is structured as a how-to manual with step by step procedures to establish an appropriate primer sequence and to organize words , phrases , and sentences that correlate with the sequence . it presupposes a thorough knowledge of linguistics . internet : academic . books @ sil . org literacy , computer
"
0,"query : letter frequencies for text identification i am posting this inquiry for sergei atamas ( satamas @ umabnet . ab . umd . edu ) , a research associate at the university of maryland at baltimore . his field is molecular biology , and his work involves comparing dna strings using various algorithms . i do n't understand the details well enough to pass them along . at any rate , one such algorithm relies upon frequencies with which the letters g , a , t , and c occur in the dna strings . he would like to explore the analogous use of letter ( sound ) frequencies in natural language texts . hence this posting . specifically , sergei wonders if any linguist subscribers could help steer him to recent literature concerning text identification based on letter frequencies . any suggestions could be sent directly to him at the above address , or to me and i ' ll pass them along . he would also be interested in collaborative work if this research connects with the work of any linguists or text processing specialists . he observes that very often work in one field would actually help work in a far-removed field , if only people knew what was going on over there . george fowler george fowler gfowler @ indiana . edu [ email ] dept . of slavic languages * * 1-317 - 726-1482 [ home ] * * [ try here first ! ] ballantine 502 1-812 - 855-2624 / - 2608 / - 9906 [ dept . ] indiana university 1-812 - 855-2829 [ office ] bloomington , in 47405 usa 1-812 - 855-2107 [ dept . fax ]
"
0,"risk a colleague and i are researching the differing degrees of risk perceived by our hong kong students in different contexts where spoken english is required . we would be interested to find out more about research in the area of risk-taking in language learning . so far we have n't come up with much . can anyone help here ?
"
0,"request book information earlier this morning i was on the phone with a friend of mine living in south america . as we were talking in spanish , he said : "" si voy a la liberi ' a , comprare ' el libro "" which can be rendered into english as "" if i go to the bookstore , i will purchase it "" . i found this expression a bit unusual so i asked him saying that he really meant to say "" si fuese a la libreri ' a , comprari ' a el libro "" or "" if i were to go to the bookstore , i would buy it "" to which he said to me , "" ah , the subjunctive is dead in spanish ! "" . weather this is a matter of subjunctive discussion or not , is something to be left for another time . nevertheless , he mentioned in the course of our conversation that there is a book ( a spanish translation of a french original ) titled something like "" la muerte del subjuntivo "" or "" the demise / death of the subjunctive "" . does any one know of this book ? or books which may deal with similar content ? any and all help will be appreciated . joseph m kozono < kozonoj @ gunet . georgetown . edu >
"
0,"call for abstracts : optimality in syntactic theory content - length : 4437 call for papers is the best good enough ? workshop on optimality in syntactic theory to be held at the massachusetts institute of technology , cambridge , ma , may 19-21 1995 . syntactic research in a variety of frameworks is assigning a growing role to the notion of comparison . this work , which is at the forefront of current research , includes theories involving principles of economy and optimality . much of this work is still unpublished or in formative stages ( legendre , raymond , and smolensky ( 1993 ) , grimshaw ( 1993 ) , pesetsky ( 1994 ) , chomsky ( 1989 , 1993 , 1994 ) ) . the relevant data vary from one account to another , but empirical comparisons of these proposals now can and should be undertaken . ) from may 19-21 , 1995 , mit will be hosting a workshop to explore and clarify particular issues of syntactic theories in which comparison plays a significant role . the workshop will consist of invited talks and talks selected from anonymously submitted abstracts . abstracts are invited to address the following questions : * what is the nature of the candidate or reference set for comparison ? which linguistic objects compete for the best choice ? * what criteria determine the optimal output from a set of candidates ? * does the grammar compare derivations ( as with the economy principles of chomsky ( 1989 , 1993 ) ) or representations ( as in the optimality theoretic analyses developed for phonology by prince and smolensky ( 1993 ) ) . * is language acquisition or variation explained by parameterization or constraint re-ranking ? * what are the computational implications and requirements of the different approaches ? invited talks will be presented by : joan bresnan , stanford noam chomsky , mit jane grimshaw , rutgers david pesetsky , mit paul smolensky and geraldine legendre , johns hopkins university edward stabler , ucla submissions for consideration must be received by march 15 , 1994 , via mail or fax transmission . authors whose abstracts are accepted will be requested to provide a more complete paper by mid - april to prepare focused discussion . we may be able to assist with travel costs for student or unemployed presenters . eight or nine 30 - minute time slots are reserved for accepted papers , each with an additional 10 minutes for questions and discussion . abstracts should be anonymous and not longer than two pages . mailing address : good enough mit 20d-219 77 massachusetts avenue , cambridge , ma , 02139 mailings should include six copies of an anonymous abstract with a cover sheet indicating the paper title , author 's name , affiliation , address , phone number , and email address . fax transmissions may be made to ( 617 ) 253-5017 , attention : david pesetsky , and should also include the cover sheet . any further questions may be addressed by email to good-enough @ mit . edu . more detailed conference information will also be made available via anonymous ftp to broca . mit . edu , in the pub / good-enough directory . references cited above : chomsky , n . ( 1989 ) , "" some notes on economy of derivation and representation . "" in laka , i . and a . mahajan ( ed . ) _ mit working papers in linguistics 10 , cambridge : mit working papers in linguistics . chomsky , n . ( 1993 ) , "" a minimalist program for linguistic theory , "" in hale , k . and j . keyser ( ed . ) _ a view from building 20 _ , cambridge : mit press . chomsky , n . ( 1994 ) , "" bare phrase structure , "" occasional paper # 5 , cambridge : mit working papers in linguistics . grimshaw , j . ( 1993 ) , "" minimal projection , heads , and optimality , "" ms . rutgers university [ available by anonymous ftp from ruccs . rutgers . edu , as pub / ot / papers / minproj . ps ] , to appear in linguistic inquiry . legendre , g . , w . raymond , and p . smolensky ( 1993 ) "" an optimality - theoretic typology of case and grammatical voice systems , "" _ proceedings of the nineteenth annual meeting of the berkeley linguistic society _ , berkeley , ca , 464-478 . pesetsky , d . ( in prep . ) , _ syntax at the edge : optimality effects in sentence grammar _ [ handouts only available by anonymous ftp from ruccs . rutgers . edu , as pub / ot / papers / sentpron . ps ] . prince , a . and p . smolensky ( 1993 ) , _ optimality theory : constraint interaction in generative grammar _ , ruccs technical report # 2 , rutgers university center for cognitive science , piscataway , new jersey [ to appear , mit press ] .
"
0,"m . a . in scandinavian linguistics m . a . in scandinavian linguistics at the university of tromsoe 1995-1996 ( corrected version ) the linguistics section of the institute for language and literature at the university of tromsoe , norway , offers a one year course leading up to a master of arts degree , starting the fall of 1995 . the course is designed to prepare students for research in generative syntax and phonology with special attention to the scandinavian languages . the course is open to students from all countries with a background in linguistics corresponding roughly to a b . a . with a major in linguistics , or a norwegian cand . mag . the course is equivalent to 60 e . c . t . s credits . instruction will be in english . proficiency in a scandinavian language is not required , nor is previous knowledge of scandinavian grammar . those who wish may follow a course in norwegian for foreigners during the whole year . students pay no tuition , only a nominal registration fee . a limited number of grants are available for students from eastern europe or developing countries . the course will consist of lectures , seminars , and tutorials , with examinations at the end of each term ( fall and spring term ) . in addition , the students are required to write two research papers . in the fall of 1995 there will be a lecture series on scandinavian syntax and another one on scandinavian phonology . in addition there will be seminars , tutorials , and a crash course in icelandic grammar . in the spring of1996 there will be a lecture series on historical scandinavian linguistics , plus seminars and tutorials . also during spring term the students will write their two research papers . the teachers are anders holmberg and tarald taraldsen ( syntax ) , ove lorenz and curtis rice ( phonology ) . other teachers who will contribute at various points in the course include christer platzack , cecilia falk ( university of lund ) , halldor a . sigurdsson ( university of iceland ) , tomas riad ( university of stockholm ) . for further information , contact anders holmberg isl , linguistics university of tromsoe n-9037 tromsoe , norway phone : 47-77645616 , fax : 47-77645625 e-mail : andersh @ isl . uit . no
"
0,"call for papers : linguistics session of the m / mla call for papers linguistics session - - midwest modern language association , st . louis , missouri , november 2 - 4 , 1995 topic : dialogue in fiction - - applications of theories / approaches from linguistic and cognitive sciences to dialogue in fiction . papers may explain how dialogue in fiction works ( with or without comparison to real conversation ) ; revise existing theories of language use , and perhaps offer new ones , based on analysis of dialogue in fiction ; or interpret texts through dialogue . please send abstracts or papers to : deborah f . rossen - knill , institute for research in cognitive science , 3401 walnut street , suite 4c , philadelphia , pa 19104-6228 . deadline : march 27 , 1995 questions ? contact deborah f . rossen - knill : drossen @ linc . cis . upenn . edu .
"
0,"foreign language in commercials content - length : 1937 greetings ! i ' m wondering if someone out there can identify the languages used in two recent ibm commercials . they have out a series of three ads with people in different countries talking about ibm equipment and services . one ad has two old gentlemen walking along what looks like the seine , speaking french . a second ad has two men sitting in what is apparently a middle eastern marketplace , and a third ad has nuns discussing ibm equipment on their way to mass . i assume the men are speaking arabic ( though i would be grateful to have that confirmed ) , but i have no idea what the nuns are speaking . anyone know ? i would also like to take this opportunity to thank all those who responded to my questions early last year about some french , italian and swedish expressions in some print ads . i meant to send individual thanks , but i lost the file in which i had the respondents ! please forgive me , and accept this general acknowledgment instead . if any of you who did respond would like to know more about what we did with your input , i would be glad to send you more information ( even the paper we wrote , if you want ) . thanks very much , mary ellen renryder @ idbsu . idbsu . edu
"
0,"fulbright announcement : please post / disseminate to lists fulbright announcement : please post / disseminate to lists subject fulbright scholar program competition for 1996-97 : fulbright chairs in western europe and canada action : submissions due may 1 , 1995 info : dr . karen adams or ms . margo cunniffe council for international exchange of scholars 3007 tilden street , n . w . , suite 5m washington , dc 20008-3009 telephone : 202-686 - 6245 or 202 / 686-6242 fax : 202-362 - 3442 internet : we1 @ ciesnet . cies . org * * * * * * * * * * * * * * * * * * * * award descriptions : 1 . italy : venice chair department of philosophy and theory of sciences , university of venice . three months , between 2 / 97 and 6 / 97 . specialty : philosophy of language or theoretical linguistics . assignment : grantee will teach on both graduate and undergraduate levels and is to offer an advanced class in either contemporary theoretical linguistics ( theory of syntax and the syntax of logical form ) or contemporary philosophy of language ( theory of meaning , semantics of natural language , theory of predication , language and ontology ) . lecturing in english . 2 . italy : naples chair department of modern philology , university of naples . three months , between 3 / 1 / 97 and 5 / / 31 / 97 . specialty : american literature , american cultural studies , american language , or general linguistics . assignment : lecturing in english . occasional guest lectures at other cultural institutions in naples and elsewhere in italy .
"
